State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,22500,23500,23000
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,22000,24000,23000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,23000,23000,23000
Tamil Nadu,Thirupur,Palladam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,22000,24000,23000
Manipur,Imphal East,Lamlong Bazaar APMC,Dry Chillies,Dry Chillies,FAQ,16-05-2026,22000,24000,23000
Tamil Nadu,Karur,Velayuthampalayam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,22000,24000,23000
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,22000,23500,22750
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,21000,24000,22500
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,20000,25000,22500
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,22500,22500,22500
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,20000,25000,22500
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Marigold(Calcutta),Marigold(Calcutta),Local,16-05-2026,20000,25000,22500
Tamil Nadu,Karur,Kulithalai(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,25000,22500
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,20000,25000,22500
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Orange,Darjeeling,Local,16-05-2026,20000,24000,22000
Tamil Nadu,Perambalur,Perambalur(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,20000,24000,22000
Tamil Nadu,Perambalur,Perambalur(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,20000,24000,22000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,22000,22000,22000
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,21500,22000,21750
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,21000,22000,21500
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,21000,22000,21500
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,21000,22000,21500
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,21000,22000,21500
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,21000,22000,21500
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,20000,22500,21250
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,21000,21500,21250
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,20000,22500,21250
Himachal Pradesh,Mandi,PMY Kangni Mandi,Pomegranate,Pomogranate,Grade B,16-05-2026,20000,21100,21100
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,18000,24000,21000
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,18000,24000,21000
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Thirupur,Dharapuram(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,22000,21000
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,21000,21000,21000
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,21000,21000,21000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Theni,Periyakulam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Garlic,Garlic,Local,16-05-2026,20000,22000,21000
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,21500,20750
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,21000,20500
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,20000,20000,20000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,14000,26000,20000
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,20000,20000
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,20000,20000
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,20000,20000,20000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,14000,26000,20000
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,20000,20000,20000
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ),Jasmine,Jasmine,Local,16-05-2026,20000,20000,20000
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Lemon,Lemon,Local,16-05-2026,19000,20000,19500
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Perambalur,Perambalur(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Thiruvellore,Ambattur(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,16-05-2026,19000,19000,19000
Tamil Nadu,Namakkal,Rasipuram(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,16-05-2026,18000,20000,19000
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,16-05-2026,18000,20000,19000
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Lemon,Lemon,Local,16-05-2026,18000,20000,19000
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,17500,20000,18750
Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,18000,19000,18500
Tamil Nadu,Pudukkottai,Aranthangi(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,18000,19000,18500
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,12000,24000,18000
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,17500,18500,18000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Pomegranate,Other,Medium,16-05-2026,17500,19000,18000
Tamil Nadu,Vellore,Thirupathur APMC,Garlic,Garlic,Local,16-05-2026,18000,18000,18000
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,16000,20000,18000
Tamil Nadu,Karur,Kulithalai(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,16000,20000,18000
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,16000,20000,18000
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,16000,20000,18000
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,16-05-2026,17000,19000,18000
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,17500,18000,17750
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,17000,18500,17750
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,17500,18000,17750
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,17000,18000,17500
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,11000,24000,17500
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,17000,18000,17500
Himachal Pradesh,Kangra,SMY Palampur,Pomegranate,Pomogranate,Medium,16-05-2026,17000,18000,17500
